side_effect,query,drug,label
gastrointestinal haemorrhage,What medications lead to gastrointestinal haemorrhage?,photofrin,YES
gastrointestinal haemorrhage,What medications lead to gastrointestinal haemorrhage?,cefixime,NO
gastrointestinal haemorrhage,List drugs associated with gastrointestinal haemorrhage,cabozantinib,YES
gastrointestinal haemorrhage,List drugs associated with gastrointestinal haemorrhage,bazedoxifene,NO
atrial fibrillation,Which drugs cause atrial fibrillation?,gabapentin,YES
atrial fibrillation,Which drugs cause atrial fibrillation?,tamoxifen,NO
atrial fibrillation,What medications lead to atrial fibrillation?,olanzapine,YES
atrial fibrillation,What medications lead to atrial fibrillation?,prednisolone,NO
atrial fibrillation,List drugs associated with atrial fibrillation,isosorbide-5-mononitrate,YES
atrial fibrillation,List drugs associated with atrial fibrillation,perindopril,NO
diplopia,Which drugs cause diplopia?,nadolol,YES
diplopia,Which drugs cause diplopia?,zuclopenthixol,NO
diplopia,What medications lead to diplopia?,perhexiline,YES
diplopia,What medications lead to diplopia?,granisetron,NO
diplopia,List drugs associated with diplopia,efavirenz,YES
diplopia,List drugs associated with diplopia,mafenide,NO
renal failure acute,Which drugs cause renal failure acute?,roflumilast,YES
renal failure acute,Which drugs cause renal failure acute?,bupivacaine,NO
renal failure acute,What medications lead to renal failure acute?,candesartan,YES
renal failure acute,What medications lead to renal failure acute?,"1,25(oh)2d3",NO
renal failure acute,List drugs associated with renal failure acute,leucovorin,YES
renal failure acute,List drugs associated with renal failure acute,iopromide,NO
haemolytic anaemia,Which drugs cause haemolytic anaemia?,penicillin,YES
haemolytic anaemia,Which drugs cause haemolytic anaemia?,venlafaxine,NO
haemolytic anaemia,What medications lead to haemolytic anaemia?,tolmetin,YES
haemolytic anaemia,What medications lead to haemolytic anaemia?,eptifibatide,NO
haemolytic anaemia,List drugs associated with haemolytic anaemia,allopurinol,YES
haemolytic anaemia,List drugs associated with haemolytic anaemia,sodium,NO
purpura,Which drugs cause purpura?,cilostazol,YES
purpura,Which drugs cause purpura?,tegaserod,NO
purpura,What medications lead to purpura?,pentoxifylline,YES
purpura,What medications lead to purpura?,amprenavir,NO
purpura,List drugs associated with purpura,aztreonam,YES
purpura,List drugs associated with purpura,metipranolol,NO
blood creatinine increased,Which drugs cause blood creatinine increased?,bosutinib,YES
blood creatinine increased,Which drugs cause blood creatinine increased?,raloxifene,NO
blood creatinine increased,What medications lead to blood creatinine increased?,bezafibrate,YES
blood creatinine increased,What medications lead to blood creatinine increased?,degarelix,NO
blood creatinine increased,List drugs associated with blood creatinine increased,hydroxybutyrate,YES
blood creatinine increased,List drugs associated with blood creatinine increased,fluorescein,NO
dermatitis exfoliative,Which drugs cause dermatitis exfoliative?,pantoprazole,YES
dermatitis exfoliative,Which drugs cause dermatitis exfoliative?,copolymer,NO
dermatitis exfoliative,What medications lead to dermatitis exfoliative?,eletriptan,YES
dermatitis exfoliative,What medications lead to dermatitis exfoliative?,oxymetholone,NO
dermatitis exfoliative,List drugs associated with dermatitis exfoliative,sulindac,YES
dermatitis exfoliative,List drugs associated with dermatitis exfoliative,tetrabenazine,NO
renal impairment,Which drugs cause renal impairment?,norethisterone,YES
renal impairment,Which drugs cause renal impairment?,acitretin,NO
renal impairment,What medications lead to renal impairment?,testosterone,YES
renal impairment,What medications lead to renal impairment?,cantril,NO
renal impairment,List drugs associated with renal impairment,itraconazole,YES
renal impairment,List drugs associated with renal impairment,granisetron,NO
swelling,Which drugs cause swelling?,diltiazem,YES
swelling,Which drugs cause swelling?,guanfacine,NO
swelling,What medications lead to swelling?,tesamorelin,YES
swelling,What medications lead to swelling?,rapamycin,NO
swelling,List drugs associated with swelling,tadalafil,YES
swelling,List drugs associated with swelling,tolvaptan,NO
nasal congestion,Which drugs cause nasal congestion?,perphenazine,YES
nasal congestion,Which drugs cause nasal congestion?,neostigmine,NO
nasal congestion,What medications lead to nasal congestion?,pentoxifylline,YES
nasal congestion,What medications lead to nasal congestion?,arsenic,NO
nasal congestion,List drugs associated with nasal congestion,baclofen,YES
nasal congestion,List drugs associated with nasal congestion,levonorgestrel,NO
libido decreased,Which drugs cause libido decreased?,doxazosin,YES
libido decreased,Which drugs cause libido decreased?,rifabutin,NO
libido decreased,What medications lead to libido decreased?,zonisamide,YES
libido decreased,What medications lead to libido decreased?,nitric,NO
libido decreased,List drugs associated with libido decreased,doxepin,YES
libido decreased,List drugs associated with libido decreased,gadobutrol,NO
cardiac failure congestive,Which drugs cause cardiac failure congestive?,imipramine,YES
cardiac failure congestive,Which drugs cause cardiac failure congestive?,insulin,NO
cardiac failure congestive,What medications lead to cardiac failure congestive?,fexofenadine,YES
cardiac failure congestive,What medications lead to cardiac failure congestive?,n-carbamylglutamate,NO
cardiac failure congestive,List drugs associated with cardiac failure congestive,glucose,YES
cardiac failure congestive,List drugs associated with cardiac failure congestive,protirelin,NO
thrombophlebitis,Which drugs cause thrombophlebitis?,pentostatin,YES
thrombophlebitis,Which drugs cause thrombophlebitis?,ramipril,NO
thrombophlebitis,What medications lead to thrombophlebitis?,acamprosate,YES
thrombophlebitis,What medications lead to thrombophlebitis?,nuvocid,NO
thrombophlebitis,List drugs associated with thrombophlebitis,aztreonam,YES
thrombophlebitis,List drugs associated with thrombophlebitis,rifampicin,NO
diabetes mellitus,Which drugs cause diabetes mellitus?,quetiapine,YES
diabetes mellitus,Which drugs cause diabetes mellitus?,procarbazine,NO
diabetes mellitus,What medications lead to diabetes mellitus?,cilostazol,YES
diabetes mellitus,What medications lead to diabetes mellitus?,colestyramine,NO
diabetes mellitus,List drugs associated with diabetes mellitus,medroxyprogesterone,YES
diabetes mellitus,List drugs associated with diabetes mellitus,epinephrine,NO
thirst,Which drugs cause thirst?,lansoprazole,YES
thirst,Which drugs cause thirst?,atracurium,NO
thirst,What medications lead to thirst?,aripiprazole,YES
thirst,What medications lead to thirst?,fluoxymesterone,NO
thirst,List drugs associated with thirst,cefditoren,YES
thirst,List drugs associated with thirst,cyanocobalamin,NO
hepatic failure,Which drugs cause hepatic failure?,erlotinib,YES
hepatic failure,Which drugs cause hepatic failure?,cefditoren,NO
hepatic failure,What medications lead to hepatic failure?,temozolomide,YES
hepatic failure,What medications lead to hepatic failure?,colestyramine,NO
hepatic failure,List drugs associated with hepatic failure,lamotrigine,YES
hepatic failure,List drugs associated with hepatic failure,acenocoumarol,NO
injection site reaction,Which drugs cause injection site reaction?,ciprofloxacin,YES
injection site reaction,Which drugs cause injection site reaction?,thiothixene,NO
injection site reaction,What medications lead to injection site reaction?,pregabalin,YES
injection site reaction,What medications lead to injection site reaction?,rivaroxaban,NO
injection site reaction,List drugs associated with injection site reaction,retinoic,YES
injection site reaction,List drugs associated with injection site reaction,dicloxacillin,NO
urethral disorder,Which drugs cause urethral disorder?,duloxetine,YES
urethral disorder,Which drugs cause urethral disorder?,oxytetracycline,NO
urethral disorder,What medications lead to urethral disorder?,pemetrexed,YES
urethral disorder,What medications lead to urethral disorder?,pyridostigmine,NO
urethral disorder,List drugs associated with urethral disorder,gefitinib,YES
urethral disorder,List drugs associated with urethral disorder,rofecoxib,NO
amnesia,Which drugs cause amnesia?,fluvastatin,YES
amnesia,Which drugs cause amnesia?,alendronate,NO
amnesia,What medications lead to amnesia?,atenolol,YES
amnesia,What medications lead to amnesia?,tropisetron,NO
amnesia,List drugs associated with amnesia,posaconazole,YES
amnesia,List drugs associated with amnesia,rimantadine,NO
eye pain,Which drugs cause eye pain?,vigabatrin,YES
eye pain,Which drugs cause eye pain?,acamprosate,NO
eye pain,What medications lead to eye pain?,cytarabine,YES
eye pain,What medications lead to eye pain?,darifenacin,NO
eye pain,List drugs associated with eye pain,valdecoxib,YES
eye pain,List drugs associated with eye pain,nelarabine,NO
gastroenteritis,Which drugs cause gastroenteritis?,sitaxsentan,YES
gastroenteritis,Which drugs cause gastroenteritis?,glibenclamide,NO
gastroenteritis,What medications lead to gastroenteritis?,ribavirin,YES
gastroenteritis,What medications lead to gastroenteritis?,olopatadine,NO
gastroenteritis,List drugs associated with gastroenteritis,su5416,YES
gastroenteritis,List drugs associated with gastroenteritis,dolasetron,NO
sepsis,Which drugs cause sepsis?,clozapine,YES
sepsis,Which drugs cause sepsis?,bisoprolol,NO
sepsis,What medications lead to sepsis?,fosphenytoin,YES
sepsis,What medications lead to sepsis?,mannitol,NO
sepsis,List drugs associated with sepsis,amphotericin,YES
sepsis,List drugs associated with sepsis,tolterodine,NO
haemoglobin,Which drugs cause haemoglobin?,goserelin,YES
haemoglobin,Which drugs cause haemoglobin?,clemastine,NO
haemoglobin,What medications lead to haemoglobin?,valdecoxib,YES
haemoglobin,What medications lead to haemoglobin?,propranolol,NO
haemoglobin,List drugs associated with haemoglobin,bortezomib,YES
haemoglobin,List drugs associated with haemoglobin,pilocarpine,NO
lymphadenopathy,Which drugs cause lymphadenopathy?,lamotrigine,YES
lymphadenopathy,Which drugs cause lymphadenopathy?,cysteamine,NO
lymphadenopathy,What medications lead to lymphadenopathy?,sodium,YES
lymphadenopathy,What medications lead to lymphadenopathy?,6-thioguanine,NO
lymphadenopathy,List drugs associated with lymphadenopathy,fosinoprilat,YES
lymphadenopathy,List drugs associated with lymphadenopathy,ipratropium,NO
eczema,Which drugs cause eczema?,lomefloxacin,YES
eczema,Which drugs cause eczema?,zanamivir,NO
eczema,What medications lead to eczema?,latanoprost,YES
eczema,What medications lead to eczema?,probenecid,NO
eczema,List drugs associated with eczema,nuvaring,YES
eczema,List drugs associated with eczema,terconazole,NO
polyuria,Which drugs cause polyuria?,zolpidem,YES
polyuria,Which drugs cause polyuria?,novolog,NO
polyuria,What medications lead to polyuria?,darunavir,YES
polyuria,What medications lead to polyuria?,fluorometholone,NO
polyuria,List drugs associated with polyuria,rabeprazole,YES
polyuria,List drugs associated with polyuria,methsuximide,NO
hepatic function abnormal,Which drugs cause hepatic function abnormal?,esomeprazole,YES
hepatic function abnormal,Which drugs cause hepatic function abnormal?,mefloquine,NO
hepatic function abnormal,What medications lead to hepatic function abnormal?,5-fluorocytosine,YES
hepatic function abnormal,What medications lead to hepatic function abnormal?,terazosin,NO
hepatic function abnormal,List drugs associated with hepatic function abnormal,goserelin,YES
hepatic function abnormal,List drugs associated with hepatic function abnormal,nitric,NO
phlebitis,Which drugs cause phlebitis?,bcnu,YES
phlebitis,Which drugs cause phlebitis?,adenosine,NO
phlebitis,What medications lead to phlebitis?,promethazine,YES
phlebitis,What medications lead to phlebitis?,silver,NO
phlebitis,List drugs associated with phlebitis,penicillin,YES
phlebitis,List drugs associated with phlebitis,palonosetron,NO
ecchymosis,Which drugs cause ecchymosis?,mitoxantrone,YES
ecchymosis,Which drugs cause ecchymosis?,ici,NO
ecchymosis,What medications lead to ecchymosis?,fosphenytoin,YES
ecchymosis,What medications lead to ecchymosis?,vitrum,NO
ecchymosis,List drugs associated with ecchymosis,5-aza-2'-deoxycytidine,YES
ecchymosis,List drugs associated with ecchymosis,aprepitant,NO
pulmonary oedema,Which drugs cause pulmonary oedema?,isoxsuprine,YES
pulmonary oedema,Which drugs cause pulmonary oedema?,iotrolan,NO
pulmonary oedema,What medications lead to pulmonary oedema?,hydroxocobalamin,YES
pulmonary oedema,What medications lead to pulmonary oedema?,anagrelide,NO
pulmonary oedema,List drugs associated with pulmonary oedema,lenalidomide,YES
pulmonary oedema,List drugs associated with pulmonary oedema,clomipramine,NO
candida infection,Which drugs cause candida infection?,cidofovir,YES
candida infection,Which drugs cause candida infection?,mivacurium,NO
candida infection,What medications lead to candida infection?,olanzapine,YES
candida infection,What medications lead to candida infection?,unoprostone,NO
candida infection,List drugs associated with candida infection,amoxicillin,YES
candida infection,List drugs associated with candida infection,cyclobenzaprine,NO
ear pain,Which drugs cause ear pain?,vigabatrin,YES
ear pain,Which drugs cause ear pain?,lapatinib,NO
ear pain,What medications lead to ear pain?,paliperidone,YES
ear pain,What medications lead to ear pain?,anastrozole,NO
ear pain,List drugs associated with ear pain,pimecrolimus,YES
ear pain,List drugs associated with ear pain,anastrozole,NO
sleep disorder,Which drugs cause sleep disorder?,pindolol,YES
sleep disorder,Which drugs cause sleep disorder?,exemestane,NO
sleep disorder,What medications lead to sleep disorder?,ritonavir,YES
sleep disorder,What medications lead to sleep disorder?,imatinib,NO
sleep disorder,List drugs associated with sleep disorder,mefloquine,YES
sleep disorder,List drugs associated with sleep disorder,acarbose,NO
neoplasm,Which drugs cause neoplasm?,metronidazole,YES
neoplasm,Which drugs cause neoplasm?,conjugated,NO
neoplasm,What medications lead to neoplasm?,vinblastine,YES
neoplasm,What medications lead to neoplasm?,ramipril,NO
neoplasm,List drugs associated with neoplasm,ropinirole,YES
neoplasm,List drugs associated with neoplasm,clonazepam,NO
wheezing,Which drugs cause wheezing?,cgp,YES
wheezing,Which drugs cause wheezing?,piroxicam,NO
wheezing,What medications lead to wheezing?,vancocine,YES
wheezing,What medications lead to wheezing?,amprenavir,NO
wheezing,List drugs associated with wheezing,amiodarone,YES
wheezing,List drugs associated with wheezing,succinylcholine,NO
pulmonary embolism,Which drugs cause pulmonary embolism?,tramadol,YES
pulmonary embolism,Which drugs cause pulmonary embolism?,temazepam,NO
pulmonary embolism,What medications lead to pulmonary embolism?,temsirolimus,YES
pulmonary embolism,What medications lead to pulmonary embolism?,sulfasalazine,NO
pulmonary embolism,List drugs associated with pulmonary embolism,zyprexa,YES
pulmonary embolism,List drugs associated with pulmonary embolism,ampicillin,NO
gynaecomastia,Which drugs cause gynaecomastia?,degarelix,YES
gynaecomastia,Which drugs cause gynaecomastia?,oxytetracycline,NO
gynaecomastia,What medications lead to gynaecomastia?,perphenazine,YES
gynaecomastia,What medications lead to gynaecomastia?,moclobemide,NO
gynaecomastia,List drugs associated with gynaecomastia,supremon,YES
gynaecomastia,List drugs associated with gynaecomastia,butorphanol,NO
acute coronary syndrome,Which drugs cause acute coronary syndrome?,pravastatin,YES
acute coronary syndrome,Which drugs cause acute coronary syndrome?,disulfiram,NO
acute coronary syndrome,What medications lead to acute coronary syndrome?,riluzole,YES
acute coronary syndrome,What medications lead to acute coronary syndrome?,propylthiouracil,NO
acute coronary syndrome,List drugs associated with acute coronary syndrome,5-aza-2'-deoxycytidine,YES
acute coronary syndrome,List drugs associated with acute coronary syndrome,pindolol,NO
deafness,Which drugs cause deafness?,ibuprofen,YES
deafness,Which drugs cause deafness?,hydroxocobalamin,NO
deafness,What medications lead to deafness?,phenytoin,YES
deafness,What medications lead to deafness?,haloperidol,NO
deafness,List drugs associated with deafness,5-asa,YES
deafness,List drugs associated with deafness,tetracycline,NO
infestation nos,Which drugs cause infestation nos?,acth(1-39,YES
infestation nos,Which drugs cause infestation nos?,ceftizoxime,NO
infestation nos,What medications lead to infestation nos?,n-carbamylglutamate,YES
infestation nos,What medications lead to infestation nos?,podophyllotoxin,NO
infestation nos,List drugs associated with infestation nos,itraconazole,YES
infestation nos,List drugs associated with infestation nos,orphenadrine,NO
infestation,Which drugs cause infestation?,omeprazole,YES
infestation,Which drugs cause infestation?,sulfamethoxazole,NO
infestation,What medications lead to infestation?,travoprost,YES
infestation,What medications lead to infestation?,naratriptan,NO
infestation,List drugs associated with infestation,gabapentin,YES
infestation,List drugs associated with infestation,tolterodine,NO
oesophagitis,Which drugs cause oesophagitis?,v,YES
oesophagitis,Which drugs cause oesophagitis?,metformin,NO
oesophagitis,What medications lead to oesophagitis?,moxifloxacin,YES
oesophagitis,What medications lead to oesophagitis?,propranolol,NO
oesophagitis,List drugs associated with oesophagitis,fenofibrate,YES
oesophagitis,List drugs associated with oesophagitis,domperidone,NO
